ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
36564_at	0.00845	1.01e-05	8.574789	3.92457	1.2747354	RNF19B	ring finger protein 19B
219234_x_at	0.00845	1.02e-05	-8.561734	3.91308	-0.7566217	SCRN3	secernin 3
208664_s_at	0.00874	1.10e-05	-8.490325	3.8499	-1.3044619	TTC3P1///TTC3	tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3
210458_s_at	0.00889	1.16e-05	-8.437841	3.80309	-1.2436684	TANK	TRAF family member associated NFKB activator
207079_s_at	0.01006	1.40e-05	-8.244765	3.62819	-0.7665429	MED6	mediator complex subunit 6
215581_s_at	0.01006	1.45e-05	-8.212841	3.59885	-1.5271201	MCM3AP	minichromosome maintenance complex component 3 associated protein
203175_at	0.01006	1.50e-05	8.179885	3.56844	0.5878625	RHOG	ras homolog family member G
212065_s_at	0.01006	1.52e-05	-8.165339	3.55498	-1.4056992	USP34	ubiquitin specific peptidase 34
218359_at	0.01006	1.54e-05	8.150504	3.54122	0.7555158	NRSN2	neurensin 2
209629_s_at	0.01006	1.76e-05	-8.019956	3.41903	-0.9430826	NXT2	nuclear transport factor 2 like export factor 2
201946_s_at	0.01006	1.81e-05	-7.994153	3.39463	-0.9915507	CCT2	chaperonin containing TCP1 subunit 2
208938_at	0.01006	1.83e-05	7.984754	3.38573	0.7481562	PRCC	papillary renal cell carcinoma (translocation-associated)
211574_s_at	0.01006	1.84e-05	-7.977001	3.37837	-1.3002782	CD46	CD46 molecule
200796_s_at	0.01006	1.86e-05	-7.966199	3.36812	-1.4840018	MCL1	BCL2 family apoptosis regulator
215905_s_at	0.01006	1.90e-05	7.946775	3.34963	0.9467843	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40
209055_s_at	0.01006	1.90e-05	-7.945808	3.34871	-0.8156211	CDC5L	cell division cycle 5 like
215318_at	0.01006	1.94e-05	-7.925377	3.32922	-1.4849793	MINOS1P1	mitochondrial inner membrane organizing system 1 pseudogene 1
200722_s_at	0.01006	1.99e-05	-7.904971	3.3097	-0.9354362	CAPRIN1	cell cycle associated protein 1
215220_s_at	0.01006	1.99e-05	-7.904744	3.30948	-1.8524113	TPR	translocated promoter region, nuclear basket protein
201711_x_at	0.01048	2.12e-05	-7.843464	3.25055	-1.2140401	RANBP2	RAN binding protein 2
216996_s_at	0.01113	2.30e-05	-7.764951	3.17437	-0.5163981	FASTKD2	FAST kinase domains 2
212577_at	0.01137	2.40e-05	-7.724955	3.13527	-0.8401695	SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1
215575_at	0.01147	2.47e-05	-7.696168	3.107	-0.8648516	PDE4DIP	phosphodiesterase 4D interacting protein
207724_s_at	0.01147	2.53e-05	-7.673829	3.08499	-0.9256598	SPAST	spastin
222126_at	0.01147	2.58e-05	7.657749	3.06911	0.5837459	AGFG2	ArfGAP with FG repeats 2
202742_s_at	0.01153	2.68e-05	-7.618993	3.03069	-0.8820543	PRKACB	protein kinase cAMP-activated catalytic subunit beta
217584_at	0.01153	2.69e-05	-7.616113	3.02783	-1.3293435	NPC1	NPC intracellular cholesterol transporter 1
203194_s_at	0.01173	2.79e-05	-7.582675	2.99452	-0.8602796	NUP98	nucleoporin 98
203836_s_at	0.01177	2.85e-05	-7.561982	2.97383	-1.0177978	MAP3K5	mitogen-activated protein kinase kinase kinase 5
210981_s_at	0.01189	2.97e-05	7.524891	2.93662	0.6302099	GRK6	G protein-coupled receptor kinase 6
204841_s_at	0.01189	2.99e-05	-7.518995	2.93069	-1.0741314	EEA1	early endosome antigen 1
214336_s_at	0.01203	3.12e-05	-7.479509	2.89084	-2.1512106	COPA	coatomer protein complex subunit alpha
207361_at	0.01203	3.35e-05	-7.413026	2.8233	-1.0631138	HBP1	HMG-box transcription factor 1
218828_at	0.01203	3.42e-05	7.395482	2.80538	0.6407349	TMEM256-PLSCR3///PLSCR3	TMEM256-PLSCR3 readthrough (NMD candidate)///phospholipid scramblase 3
210188_at	0.01203	3.43e-05	-7.392281	2.8021	-0.8966426	GABPA	GA binding protein transcription factor alpha subunit
210947_s_at	0.01203	3.44e-05	-7.38834	2.79807	-0.5250077	MSH3	mutS homolog 3
219081_at	0.01203	3.48e-05	-7.377798	2.78727	-0.7277889	ANKHD1-EIF4EBP3///ANKHD1	ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1
208109_s_at	0.01203	3.66e-05	-7.332032	2.74022	-1.3922733	LINC00597	long intergenic non-protein coding RNA 597
222228_s_at	0.01203	3.77e-05	7.305193	2.7125	0.4283759	ALKBH4	alkB homolog 4, lysine demethylase
220775_s_at	0.01203	3.83e-05	-7.292737	2.69961	-0.8436364	UEVLD	UEV and lactate/malate dehyrogenase domains
218848_at	0.01203	3.87e-05	7.282953	2.68946	0.7216285	THOC6	THO complex 6
215931_s_at	0.01203	3.88e-05	-7.279523	2.6859	-0.9075424	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2
216205_s_at	0.01203	3.93e-05	-7.267911	2.67384	-1.4273769	MFN2	mitofusin 2
203091_at	0.01203	3.95e-05	7.263251	2.66899	0.4830534	FUBP1	far upstream element binding protein 1
217748_at	0.01203	4.09e-05	7.233375	2.63786	0.6132874	ADIPOR1	adiponectin receptor 1
206611_at	0.01203	4.18e-05	7.211818	2.61532	0.496736	C2orf27A	chromosome 2 open reading frame 27A
215945_s_at	0.01203	4.24e-05	-7.19932	2.60222	-0.6566057	TRIM2	tripartite motif containing 2
209198_s_at	0.01203	4.26e-05	-7.196396	2.59915	-0.7232647	SYT11	synaptotagmin 11
214975_s_at	0.01203	4.26e-05	-7.195313	2.59802	-1.7186731	MTMR1	myotubularin related protein 1
206042_x_at	0.01203	4.26e-05	-7.195045	2.59773	-0.6828122	SNURF///SNRPN	SNRPN upstream reading frame///small nuclear ribonucleoprotein polypeptide N
203280_at	0.01203	4.28e-05	7.192298	2.59485	0.5675001	SAFB2	scaffold attachment factor B2
204433_s_at	0.01203	4.30e-05	7.187621	2.58994	0.7199598	SPATA2	spermatogenesis associated 2
210597_x_at	0.01203	4.35e-05	7.176202	2.57794	0.5865187	PRB1	proline rich protein BstNI subfamily 1
203578_s_at	0.01203	4.44e-05	-7.157941	2.5587	-0.686337	SLC7A6	solute carrier family 7 member 6
221695_s_at	0.01203	4.45e-05	-7.157033	2.55775	-0.9112703	MAP3K2	mitogen-activated protein kinase kinase kinase 2
220154_at	0.01203	4.46e-05	-7.154015	2.55456	-1.381565	DST	dystonin
203990_s_at	0.01203	4.52e-05	-7.141852	2.54172	-0.903416	KDM6A	lysine demethylase 6A
202689_at	0.01203	4.57e-05	7.13331	2.53269	0.8655866	RBM15B	RNA binding motif protein 15B
216813_at	0.01203	4.58e-05	-7.131185	2.53044	-1.4465549		
201276_at	0.01203	4.59e-05	7.129088	2.52823	0.7355635	RAB5B	RAB5B, member RAS oncogene family
201476_s_at	0.0121	4.68e-05	-7.112522	2.51067	-1.3197636	RRM1	ribonucleotide reductase catalytic subunit M1
203589_s_at	0.0121	4.78e-05	-7.092331	2.48923	-0.8135477	TFDP2	transcription factor Dp-2
213105_s_at	0.0121	4.81e-05	7.087696	2.4843	0.5819803	TSR3	TSR3, acp transferase ribosome maturation factor
204864_s_at	0.0121	4.83e-05	-7.083141	2.47945	-2.3022708	IL6ST	interleukin 6 signal transducer
220817_at	0.01218	4.92e-05	7.067357	2.46263	1.0194701	TRPC4	transient receptor potential cation channel subfamily C member 4
220617_s_at	0.01235	5.14e-05	7.029124	2.42175	0.7257733	ZNF532	zinc finger protein 532
202102_s_at	0.01235	5.18e-05	7.021167	2.41321	0.8042574	BRD4	bromodomain containing 4
202152_x_at	0.01235	5.23e-05	7.012771	2.4042	0.6973121	USF2	upstream transcription factor 2, c-fos interacting
207782_s_at	0.01235	5.30e-05	-7.002138	2.39277	-0.8014168	PSEN1	presenilin 1
213598_at	0.01235	5.31e-05	-6.999979	2.39044	-0.6777382		
203275_at	0.01235	5.35e-05	6.994199	2.38422	0.8110208	IRF2	interferon regulatory factor 2
212514_x_at	0.01235	5.38e-05	-6.988719	2.37832	-1.5584497	DDX3X	DEAD-box helicase 3, X-linked
208643_s_at	0.01256	5.53e-05	-6.965145	2.35288	-0.447559	XRCC5	X-ray repair cross complementing 5
201446_s_at	0.01277	5.74e-05	-6.931254	2.31616	-0.812995	TIA1	TIA1 cytotoxic granule-associated RNA binding protein
219997_s_at	0.01277	5.77e-05	6.927583	2.31218	0.6354126	COPS7B	COP9 signalosome subunit 7B
207029_at	0.01277	5.79e-05	-6.924532	2.30886	-1.411695	KITLG	KIT ligand
214701_s_at	0.01298	5.94e-05	-6.901357	2.28364	-2.3346641	FN1	fibronectin 1
35201_at	0.01298	6.00e-05	6.893012	2.27455	1.0682761	HNRNPL	heterogeneous nuclear ribonucleoprotein L
202514_at	0.01336	6.27e-05	-6.854687	2.23263	-0.6518502	DLG1	discs large MAGUK scaffold protein 1
215535_s_at	0.01336	6.30e-05	6.851339	2.22896	0.8055652	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1
211607_x_at	0.01357	6.46e-05	-6.829568	2.20505	-0.6327585	EGFR	epidermal growth factor receptor
216756_at	0.01389	6.72e-05	-6.794856	2.16678	-1.0791046		
213830_at	0.01389	6.73e-05	6.793572	2.16536	0.4392483	YME1L1	YME1 like 1 ATPase
202278_s_at	0.01401	6.98e-05	-6.762158	2.13058	-0.6676898	SPTLC1	serine palmitoyltransferase long chain base subunit 1
205701_at	0.01401	7.01e-05	-6.759273	2.12738	-0.7448558	IPO8	importin 8
217644_s_at	0.01401	7.08e-05	-6.750099	2.11719	-0.769734	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2
212303_x_at	0.01401	7.25e-05	6.730196	2.09504	0.6183933	KHSRP	KH-type splicing regulatory protein
203795_s_at	0.01401	7.33e-05	6.72044	2.08417	0.9436435	BCL7A	BCL tumor suppressor 7A
203788_s_at	0.01401	7.35e-05	-6.718425	2.08192	-2.228233	SEMA3C	semaphorin 3C
216574_s_at	0.01401	7.36e-05	-6.716912	2.08023	-0.791155	RPEL1///RPE	ribulose-5-phosphate-3-epimerase like 1///ribulose-5-phosphate-3-epimerase
204432_at	0.01401	7.36e-05	6.716888	2.08021	0.6930281	SOX12	SRY-box 12
219321_at	0.01401	7.51e-05	-6.699457	2.06073	-0.7905324	MPP5	membrane palmitoylated protein 5
200723_s_at	0.01401	7.53e-05	-6.697045	2.05803	-0.4964326	CAPRIN1	cell cycle associated protein 1
212392_s_at	0.01401	7.54e-05	-6.69592	2.05678	-1.1896858	LOC101930416///LOC101929792///LOC100996724///PDE4DIP	myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein
208351_s_at	0.01401	7.58e-05	-6.692387	2.05282	-0.5943159	MAPK1	mitogen-activated protein kinase 1
219296_at	0.01401	7.71e-05	6.677096	2.03569	0.9411581	ZDHHC13	zinc finger DHHC-type containing 13
211090_s_at	0.01401	7.74e-05	-6.673604	2.03177	-1.2809488	PRPF4B	pre-mRNA processing factor 4B
215385_at	0.01401	7.75e-05	-6.672746	2.03081	-1.1930468		
211027_s_at	0.01401	7.80e-05	-6.667602	2.02503	-1.1251944	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
209067_s_at	0.01437	8.11e-05	-6.634967	1.9883	-0.5661609	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like
219379_x_at	0.01437	8.19e-05	6.626069	1.97826	0.4923125	ZNF358	zinc finger protein 358
212008_at	0.01437	8.44e-05	-6.601256	1.9502	-1.0865373	UBXN4	UBX domain protein 4
213023_at	0.01437	8.46e-05	-6.598904	1.94754	-1.3631235	UTRN	utrophin
215324_at	0.01437	8.47e-05	-6.597826	1.94632	-0.7072603	SEMA3D	semaphorin 3D
202516_s_at	0.01437	8.53e-05	-6.591405	1.93904	-1.159437	DLG1	discs large MAGUK scaffold protein 1
202813_at	0.01437	8.54e-05	-6.591237	1.93885	-0.4924988	TARBP1	TAR (HIV-1) RNA binding protein 1
201490_s_at	0.01437	8.54e-05	-6.590358	1.93785	-0.7720269	PPIF	peptidylprolyl isomerase F
202341_s_at	0.01437	8.68e-05	-6.577561	1.92333	-0.4741934	TRIM2	tripartite motif containing 2
202019_s_at	0.01437	8.72e-05	-6.573507	1.91872	-0.5760599	LANCL1	LanC like 1
215561_s_at	0.01437	8.75e-05	-6.5704	1.91519	-1.9484483	IL1R1	interleukin 1 receptor type 1
222357_at	0.01437	8.77e-05	-6.568281	1.91278	-1.2231002	ZBTB20	zinc finger and BTB domain containing 20
211997_x_at	0.01464	9.00e-05	-6.546254	1.88769	-0.5157288	MIR4738///H3F3B///H3F3A	microRNA 4738///H3 histone, family 3B///H3 histone, family 3A
217486_s_at	0.01507	9.38e-05	-6.511894	1.84841	-0.852503	ZDHHC17	zinc finger DHHC-type containing 17
207319_s_at	0.01507	9.43e-05	-6.507374	1.84323	-1.1228658	CDK13	cyclin dependent kinase 13
203265_s_at	0.01507	9.47e-05	-6.504095	1.83947	-0.559267	MAP2K4	mitogen-activated protein kinase kinase 4
202873_at	0.01519	9.61e-05	-6.49146	1.82497	-1.0744907	ATP6V1C1	ATPase H+ transporting V1 subunit C1
214552_s_at	0.01535	9.80e-05	-6.475475	1.80659	-0.9240508	RABEP1	rabaptin, RAB GTPase binding effector protein 1
200658_s_at	0.01535	9.86e-05	-6.470024	1.80031	-0.6051582	PHB	prohibitin
204652_s_at	0.01535	9.92e-05	-6.465247	1.79481	-0.5981168	NRF1	nuclear respiratory factor 1
217903_at	0.01557	1.02e-04	6.442705	1.76879	0.9291272	STRN4	striatin 4
203676_at	0.01557	1.02e-04	-6.44198	1.76795	-1.2689645	GNS	glucosamine (N-acetyl)-6-sulfatase
217948_at	0.0156	1.03e-04	6.434406	1.75919	0.5864466	FAM127B	family with sequence similarity 127 member B
217496_s_at	0.01596	1.06e-04	-6.409291	1.73008	-0.6003044	IDE	insulin degrading enzyme
209997_x_at	0.01596	1.07e-04	-6.404619	1.72466	-0.4793281	PCM1	pericentriolar material 1
221430_s_at	0.01597	1.08e-04	-6.397171	1.716	-0.7330724	RNF146	ring finger protein 146
217403_s_at	0.01597	1.08e-04	-6.392116	1.71012	-0.6394185	ZNF227	zinc finger protein 227
202055_at	0.01597	1.09e-04	-6.387589	1.70486	-0.4548399	KPNA1	karyopherin subunit alpha 1
217595_at	0.0161	1.11e-04	-6.37429	1.68936	-0.6159545	GSPT1	G1 to S phase transition 1
208854_s_at	0.0161	1.11e-04	6.369895	1.68424	0.5948119	STK24	serine/threonine kinase 24
210077_s_at	0.01648	1.15e-04	-6.345552	1.65579	-0.7534996	SRSF5	serine and arginine rich splicing factor 5
217960_s_at	0.0165	1.16e-04	6.338601	1.64766	0.727194	TOMM22	translocase of outer mitochondrial membrane 22
205408_at	0.0165	1.17e-04	-6.328257	1.63553	-0.9847944	MLLT10	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10
201686_x_at	0.0165	1.18e-04	-6.324288	1.63087	-0.6013456	API5	apoptosis inhibitor 5
217777_s_at	0.0165	1.18e-04	-6.323646	1.63012	-0.8928472	HACD3	3-hydroxyacyl-CoA dehydratase 3
218367_x_at	0.01657	1.19e-04	6.315007	1.61998	0.5936987	USP21	ubiquitin specific peptidase 21
205146_x_at	0.0166	1.20e-04	6.308541	1.61238	0.7271815	APBA3	amyloid beta precursor protein binding family A member 3
45749_at	0.01686	1.23e-04	6.290791	1.59148	0.5977864	FAM65A	family with sequence similarity 65 member A
200776_s_at	0.01688	1.24e-04	-6.284433	1.58399	-0.6552914	BZW1	basic leucine zipper and W2 domains 1
208952_s_at	0.01698	1.25e-04	-6.27452	1.57229	-0.5776064	LARP4B	La ribonucleoprotein domain family member 4B
215206_at	0.01705	1.27e-04	-6.263785	1.5596	-1.17572		
220386_s_at	0.01705	1.27e-04	-6.261329	1.5567	-1.5768273	EML4	echinoderm microtubule associated protein like 4
201351_s_at	0.01737	1.30e-04	-6.241347	1.53303	-0.5423652	YME1L1	YME1 like 1 ATPase
206586_at	0.01815	1.37e-04	6.201058	1.48513	0.4437916	CNR2	cannabinoid receptor 2
210235_s_at	0.01815	1.38e-04	-6.19606	1.47917	-0.9991068	PPFIA1	PTPRF interacting protein alpha 1
218613_at	0.01831	1.40e-04	-6.184114	1.46491	-0.8440207	PSD3	pleckstrin and Sec7 domain containing 3
211989_at	0.01831	1.41e-04	-6.179501	1.4594	-0.5578537	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
76897_s_at	0.01878	1.45e-04	-6.154525	1.4295	-1.575068	FKBP15	FK506 binding protein 15
214359_s_at	0.01882	1.46e-04	-6.148169	1.42187	-0.5028782	HSP90AB1	heat shock protein 90 alpha family class B member 1
212546_s_at	0.0189	1.48e-04	-6.140089	1.41217	-0.7359228	FRYL	FRY like transcription coactivator
211051_s_at	0.01897	1.49e-04	-6.132345	1.40287	-0.7372489	EXTL3	exostosin like glycosyltransferase 3
215570_s_at	0.01898	1.50e-04	-6.127474	1.39701	-0.6871413	ZNF780A///ZNF780B	zinc finger protein 780A///zinc finger protein 780B
219618_at	0.01901	1.51e-04	-6.121488	1.3898	-0.5643722	IRAK4	interleukin 1 receptor associated kinase 4
210892_s_at	0.01905	1.52e-04	-6.115511	1.3826	-1.2832127	GTF2I	general transcription factor IIi
201211_s_at	0.01923	1.54e-04	-6.103481	1.3681	-1.7213376	DDX3X	DEAD-box helicase 3, X-linked
209936_at	0.01934	1.56e-04	-6.094167	1.35685	-1.3488946	RBM5	RNA binding motif protein 5
206473_at	0.01934	1.57e-04	-6.090036	1.35186	-1.0115819	MBTPS2	membrane bound transcription factor peptidase, site 2
214248_s_at	0.01942	1.59e-04	-6.082087	1.34224	-0.6051736	TRIM2	tripartite motif containing 2
203550_s_at	0.01944	1.60e-04	6.074553	1.33312	0.4639582	FAM189B	family with sequence similarity 189 member B
200655_s_at	0.01944	1.61e-04	6.069352	1.32682	0.6380676	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
201335_s_at	0.01944	1.61e-04	-6.068303	1.32555	-0.5631413	ARHGEF12	Rho guanine nucleotide exchange factor 12
201521_s_at	0.01956	1.63e-04	-6.058956	1.31421	-0.7055228	NCBP2	nuclear cap binding protein subunit 2
203796_s_at	0.01956	1.66e-04	6.044335	1.29645	0.9312867	BCL7A	BCL tumor suppressor 7A
205842_s_at	0.01956	1.67e-04	-6.041852	1.29343	-0.8215135	JAK2	Janus kinase 2
209254_at	0.01956	1.67e-04	6.040501	1.29179	0.9256184	KLHDC10	kelch domain containing 10
210818_s_at	0.01956	1.68e-04	-6.036433	1.28684	-1.4333913	GRIK1-AS2///BACH1	GRIK1 antisense RNA 2///BTB domain and CNC homolog 1
205384_at	0.01956	1.69e-04	6.031658	1.28102	0.7747554	FXYD1	FXYD domain containing ion transport regulator 1
201386_s_at	0.01956	1.70e-04	-6.028673	1.27739	-0.4513211	DHX15	DEAH-box helicase 15
200798_x_at	0.01956	1.70e-04	-6.025624	1.27367	-0.6968842	MCL1	BCL2 family apoptosis regulator
209253_at	0.01956	1.71e-04	6.02211	1.26939	0.4962577	SORBS3	sorbin and SH3 domain containing 3
214070_s_at	0.01956	1.71e-04	6.021285	1.26838	0.4365016	ATP10B	ATPase phospholipid transporting 10B (putative)
219492_at	0.01965	1.73e-04	6.013536	1.25893	0.7820871	CHIC2	cysteine rich hydrophobic domain 2
201533_at	0.01968	1.74e-04	6.00865	1.25296	0.6829996	CTNNB1	catenin beta 1
217445_s_at	0.01976	1.76e-04	-6.001222	1.24389	-1.0783556	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
213022_s_at	0.01981	1.80e-04	-5.980805	1.21889	-1.4460928	UTRN	utrophin
212142_at	0.01981	1.81e-04	-5.976743	1.21391	-0.9575813	MCM4	minichromosome maintenance complex component 4
208445_s_at	0.01981	1.81e-04	5.975497	1.21239	0.472874	BAZ1B	bromodomain adjacent to zinc finger domain 1B
212745_s_at	0.01981	1.82e-04	-5.974842	1.21158	-0.8307476	BBS4	Bardet-Biedl syndrome 4
218156_s_at	0.01981	1.82e-04	-5.973945	1.21048	-0.5800276	TSR1	TSR1, ribosome maturation factor
213292_s_at	0.01981	1.82e-04	-5.973547	1.21	-0.5463347	SNX13	sorting nexin 13
220202_s_at	0.01981	1.82e-04	-5.971789	1.20784	-0.6935107	RC3H2	ring finger and CCCH-type domains 2
212785_s_at	0.02016	1.87e-04	-5.952883	1.18461	-0.5163309	LARP7	La ribonucleoprotein domain family member 7
203610_s_at	0.02016	1.87e-04	-5.950182	1.18129	-0.4255058	TRIM38	tripartite motif containing 38
216881_x_at	0.02027	1.90e-04	5.940451	1.16931	0.4325356	PRB4	proline rich protein BstNI subfamily 4
207099_s_at	0.02027	1.90e-04	-5.938334	1.1667	-1.2152634	CHM	CHM, Rab escort protein 1
218884_s_at	0.0204	1.92e-04	-5.929457	1.15576	-0.5167666	GUF1	GUF1 homolog, GTPase
214072_x_at	0.02046	1.94e-04	5.923692	1.14864	0.589605	NENF	neudesin neurotrophic factor
209812_x_at	0.02061	1.97e-04	5.911472	1.13355	0.4351163	CASP2	caspase 2
215569_at	0.02061	1.97e-04	-5.910075	1.13182	-0.6143798	GTF2IRD2B	GTF2I repeat domain containing 2B
204055_s_at	0.02061	1.99e-04	-5.900802	1.12034	-0.7400767	CTAGE5	CTAGE family member 5, ER export factor
209895_at	0.02061	2.01e-04	-5.895246	1.11346	-0.72763	PTPN11	protein tyrosine phosphatase, non-receptor type 11
203328_x_at	0.02061	2.01e-04	-5.894903	1.11304	-0.5231937	IDE	insulin degrading enzyme
203579_s_at	0.02061	2.01e-04	-5.893061	1.11076	-0.9209898	SLC7A6	solute carrier family 7 member 6
216272_x_at	0.02061	2.03e-04	5.888466	1.10506	0.7531325	SYDE1	synapse defective Rho GTPase homolog 1
212720_at	0.02061	2.03e-04	-5.886212	1.10227	-1.0423827	PAPOLA	poly(A) polymerase alpha
206943_at	0.02061	2.04e-04	-5.885097	1.10088	-1.4378057	TGFBR1	transforming growth factor beta receptor 1
213518_at	0.02088	2.07e-04	5.871414	1.08389	0.6171871	PRKCI	protein kinase C iota
216125_s_at	0.02107	2.10e-04	-5.859158	1.06865	-0.7077232	RANBP9	RAN binding protein 9
200983_x_at	0.02107	2.11e-04	-5.8572	1.06622	-0.4242655	CD59	CD59 molecule
206419_at	0.02111	2.13e-04	5.848547	1.05544	0.4359763	RORC	RAR related orphan receptor C
214959_s_at	0.02111	2.15e-04	-5.843774	1.04949	-0.7474492	API5	apoptosis inhibitor 5
211801_x_at	0.02111	2.16e-04	-5.839229	1.04382	-0.5308388	MFN1	mitofusin 1
201239_s_at	0.02111	2.16e-04	-5.838105	1.04242	-0.4398254	SPCS2	signal peptidase complex subunit 2
208879_x_at	0.02111	2.17e-04	-5.835159	1.03874	-1.0285035	PRPF6	pre-mRNA processing factor 6
206748_s_at	0.02111	2.19e-04	-5.829435	1.0316	-1.2819433	SPAG9	sperm associated antigen 9
203580_s_at	0.02111	2.19e-04	-5.827515	1.0292	-0.4910652	SLC7A6	solute carrier family 7 member 6
205121_at	0.02111	2.19e-04	-5.826101	1.02743	-1.49698	SGCB	sarcoglycan beta
51192_at	0.02111	2.20e-04	5.824871	1.02589	0.4403787	SSH3	slingshot protein phosphatase 3
206059_at	0.02111	2.21e-04	-5.821475	1.02165	-0.9492227	ZNF91	zinc finger protein 91
206917_at	0.02127	2.23e-04	-5.812214	1.01006	-0.9148275	GNA13	G protein subunit alpha 13
201104_x_at	0.02136	2.27e-04	-5.799667	0.99434	-1.06741	NBPF25P///NBPF26///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF14	neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 14
204207_s_at	0.02136	2.27e-04	-5.799346	0.99394	-0.5434637	RNGTT	RNA guanylyltransferase and 5'-phosphatase
41858_at	0.02136	2.30e-04	5.79088	0.98332	0.46665	PGAP2	post-GPI attachment to proteins 2
212064_x_at	0.02136	2.33e-04	5.780653	0.97047	1.0342945	MAZ	MYC associated zinc finger protein
216100_s_at	0.02136	2.33e-04	-5.778953	0.96834	-0.7341311	TOR1AIP1	torsin 1A interacting protein 1
220014_at	0.02136	2.33e-04	5.778751	0.96808	0.572024	PRR16	proline rich 16
200984_s_at	0.02136	2.34e-04	-5.777692	0.96675	-0.3553012	CD59	CD59 molecule
