ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
221002_s_at	0.005606	2.17e-05	7.78	3.24988	0.74786627	TSPAN14	tetraspanin 14
205867_at	0.005606	2.19e-05	-7.77	3.24124	-0.61878628	PTPN11	protein tyrosine phosphatase, non-receptor type 11
212337_at	0.005673	2.24e-05	-7.74	3.21898	-0.47621053	TUG1	taurine up-regulated 1 (non-protein coding)
215910_s_at	0.005889	2.35e-05	-7.70	3.17268	-1.09032343	FNDC3A	fibronectin type III domain containing 3A
214975_s_at	0.006001	2.42e-05	-7.67	3.14405	-1.34236184	MTMR1	myotubularin related protein 1
202689_at	0.00618	2.52e-05	7.63	3.10544	0.71817313	RBM15B	RNA binding motif protein 15B
205121_at	0.006225	2.57e-05	-7.62	3.08811	-1.36911079	SGCB	sarcoglycan beta
204819_at	0.006262	2.63e-05	7.60	3.06671	0.87777187	FGD1	FYVE, RhoGEF and PH domain containing 1
214738_s_at	0.006262	2.70e-05	-7.57	3.04221	-0.78797093	NEK9	NIMA related kinase 9
200055_at	0.006262	2.70e-05	7.57	3.04133	0.72762799	TAF10	TATA-box binding protein associated factor 10
217991_x_at	0.006262	2.72e-05	7.56	3.03328	1.18309221	SSBP3	single stranded DNA binding protein 3
205408_at	0.006262	2.73e-05	-7.56	3.03182	-0.95000508	MLLT10	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10
201835_s_at	0.006262	2.75e-05	-7.55	3.02201	-1.02756084	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1
202742_s_at	0.006616	2.96e-05	-7.49	2.95414	-0.91852105	PRKACB	protein kinase cAMP-activated catalytic subunit beta
215324_at	0.006616	2.97e-05	-7.48	2.95002	-0.82520975	SEMA3D	semaphorin 3D
205018_s_at	0.006674	3.04e-05	-7.46	2.92668	-1.59433833	MBNL2	muscleblind like splicing regulator 2
219357_at	0.006674	3.06e-05	7.46	2.92259	0.44085663	GTPBP1	GTP binding protein 1
218812_s_at	0.006698	3.12e-05	7.44	2.90202	0.88986563	ORAI2	ORAI calcium release-activated calcium modulator 2
218607_s_at	0.006698	3.14e-05	7.43	2.89569	0.8712825	SDAD1	SDA1 domain containing 1
212084_at	0.006698	3.16e-05	-7.43	2.89134	-0.56284472	TEX261	testis expressed 261
201679_at	0.006955	3.31e-05	-7.38	2.84612	-0.73898258	SRRT	serrate, RNA effector molecule
203636_at	0.007034	3.38e-05	-7.37	2.82625	-0.81086996	MID1	midline 1
213336_at	0.007081	3.45e-05	7.35	2.80695	0.54515445	BAZ1B	bromodomain adjacent to zinc finger domain 1B
215357_s_at	0.007081	3.46e-05	-7.34	2.80208	-0.86317855	POLDIP3	DNA polymerase delta interacting protein 3
200813_s_at	0.007141	3.53e-05	-7.33	2.78517	-0.68860465	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
202444_s_at	0.007209	3.59e-05	-7.31	2.76733	-1.19770012	ERLIN1	ER lipid raft associated 1
212065_s_at	0.007217	3.63e-05	-7.30	2.75769	-1.06578095	USP34	ubiquitin specific peptidase 34
203589_s_at	0.007243	3.69e-05	-7.29	2.74273	-0.93567015	TFDP2	transcription factor Dp-2
213983_s_at	0.007243	3.72e-05	-7.28	2.73344	-0.67890571	PDS5A	PDS5 cohesin associated factor A
209136_s_at	0.007243	3.74e-05	-7.27	2.7278	-0.55040337	USP10	ubiquitin specific peptidase 10
200696_s_at	0.007243	3.77e-05	7.27	2.72046	0.88082079	GSN	gelsolin
202873_at	0.007361	3.87e-05	-7.24	2.69661	-0.90156513	ATP6V1C1	ATPase H+ transporting V1 subunit C1
202397_at	0.007406	3.92e-05	7.23	2.6825	1.49052747	NUTF2P4///NUTF2	nuclear transport factor 2 pseudogene 4///nuclear transport factor 2
206053_at	0.007506	4.02e-05	-7.21	2.65827	-0.68225569	ZNF510	zinc finger protein 510
204312_x_at	0.007506	4.04e-05	-7.20	2.65339	-0.99132939	CREB1	cAMP responsive element binding protein 1
215905_s_at	0.007542	4.10e-05	7.19	2.64069	0.93652036	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40
218029_at	0.007561	4.16e-05	7.18	2.6252	0.67965905	FAM65A	family with sequence similarity 65 member A
204568_at	0.007561	4.17e-05	-7.18	2.62251	-0.48414485	ATG14	autophagy related 14
202773_s_at	0.007566	4.25e-05	-7.16	2.60614	-0.68351535	SFSWAP	splicing factor SWAP homolog
219997_s_at	0.007566	4.28e-05	7.15	2.5976	0.56583328	COPS7B	COP9 signalosome subunit 7B
208952_s_at	0.007566	4.32e-05	-7.15	2.59019	-0.58014197	LARP4B	La ribonucleoprotein domain family member 4B
209253_at	0.007566	4.32e-05	7.14	2.58853	0.58770186	SORBS3	sorbin and SH3 domain containing 3
210517_s_at	0.007566	4.35e-05	-7.14	2.5834	-1.07714043	AKAP12	A-kinase anchoring protein 12
211240_x_at	0.007743	4.48e-05	7.11	2.55344	0.55556023	TMX2-CTNND1///CTNND1	TMX2-CTNND1 readthrough (NMD candidate)///catenin delta 1
216521_s_at	0.007767	4.53e-05	-7.10	2.54297	-0.74407052	BRCC3	BRCA1/BRCA2-containing complex subunit 3
204460_s_at	0.007849	4.62e-05	-7.09	2.52551	-0.55303917	RAD1	RAD1 checkpoint DNA exonuclease
209346_s_at	0.007932	4.70e-05	-7.07	2.50798	-0.49956661	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha
217849_s_at	0.007953	4.75e-05	7.06	2.49807	0.97223095	CDC42BPB	CDC42 binding protein kinase beta
217960_s_at	0.008015	4.82e-05	7.05	2.48329	0.6811389	TOMM22	translocase of outer mitochondrial membrane 22
215913_s_at	0.008085	4.91e-05	-7.03	2.46601	-1.5946418	GULP1	GULP, engulfment adaptor PTB domain containing 1
212064_x_at	0.008085	4.94e-05	7.03	2.46057	0.79932242	MAZ	MYC associated zinc finger protein
207029_at	0.00813	5.00e-05	-7.02	2.44802	-1.63691878	KITLG	KIT ligand
202476_s_at	0.008166	5.06e-05	-7.01	2.43678	-0.74597582	TUBGCP2	tubulin gamma complex associated protein 2
211214_s_at	0.008303	5.23e-05	-6.98	2.40491	-0.49616752	DAPK1	death associated protein kinase 1
218221_at	0.008303	5.27e-05	-6.97	2.39717	-0.52640027	ARNT	aryl hydrocarbon receptor nuclear translocator
216915_s_at	0.008303	5.29e-05	-6.97	2.39329	-1.2000098	PTPN12	protein tyrosine phosphatase, non-receptor type 12
208819_at	0.008303	5.33e-05	6.96	2.38652	0.58997664	RAB8A	RAB8A, member RAS oncogene family
205026_at	0.008303	5.34e-05	-6.96	2.38496	-0.54624059	STAT5B	signal transducer and activator of transcription 5B
201813_s_at	0.008303	5.42e-05	-6.95	2.3695	-0.56804114	TBC1D5	TBC1 domain family member 5
219008_at	0.008303	5.43e-05	-6.95	2.36866	-0.62764401	LDAH	lipid droplet associated hydrolase
203992_s_at	0.008303	5.53e-05	-6.93	2.3512	-0.94125844	KDM6A	lysine demethylase 6A
200655_s_at	0.008303	5.53e-05	6.93	2.35084	0.6869619	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
201533_at	0.008303	5.60e-05	6.92	2.33839	0.68212561	CTNNB1	catenin beta 1
217445_s_at	0.008303	5.60e-05	-6.92	2.33799	-0.85159764	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
61734_at	0.008303	5.61e-05	6.92	2.33613	0.69978578	RCN3	reticulocalbin 3
210892_s_at	0.008303	5.63e-05	-6.91	2.33334	-1.18279037	GTF2I	general transcription factor IIi
206075_s_at	0.008427	5.75e-05	-6.90	2.31253	-0.4627023	CSNK2A1	casein kinase 2 alpha 1
213105_s_at	0.008664	5.95e-05	6.87	2.27912	0.55154771	TSR3	TSR3, acp transferase ribosome maturation factor
200760_s_at	0.00883	6.13e-05	-6.84	2.25082	-0.75507464	ARL6IP5	ADP ribosylation factor like GTPase 6 interacting protein 5
212830_at	0.00883	6.14e-05	-6.84	2.24804	-0.97906309	MEGF9	multiple EGF like domains 9
213805_at	0.00888	6.35e-05	-6.81	2.21657	-0.6720887	ABHD5	abhydrolase domain containing 5
203637_s_at	0.00888	6.36e-05	-6.81	2.21492	-0.77891676	MID1	midline 1
201945_at	0.00888	6.37e-05	6.81	2.21261	0.47684783	FURIN	furin, paired basic amino acid cleaving enzyme
217584_at	0.00888	6.42e-05	-6.80	2.20499	-1.32975524	NPC1	NPC intracellular cholesterol transporter 1
201564_s_at	0.00888	6.43e-05	6.80	2.20437	0.56455999	FSCN1	fascin actin-bundling protein 1
208862_s_at	0.00888	6.44e-05	6.80	2.20245	0.58935803	TMX2-CTNND1///CTNND1	TMX2-CTNND1 readthrough (NMD candidate)///catenin delta 1
217748_at	0.00888	6.46e-05	6.80	2.19966	0.55061964	ADIPOR1	adiponectin receptor 1
204605_at	0.009251	6.77e-05	-6.76	2.15375	-0.52709444	CGRRF1	cell growth regulator with ring finger domain 1
201224_s_at	0.009342	6.89e-05	6.74	2.13651	0.71451557	SRRM1	serine and arginine repetitive matrix 1
215506_s_at	0.009342	6.92e-05	-6.74	2.13233	-2.76850525	DIRAS3	DIRAS family GTPase 3
217888_s_at	0.009363	6.98e-05	6.73	2.12424	0.57605941	ARFGAP1	ADP ribosylation factor GTPase activating protein 1
221195_at	0.009495	7.12e-05	-6.71	2.10476	-0.74945955	RNFT1	ring finger protein, transmembrane 1
205732_s_at	0.009576	7.31e-05	-6.69	2.07894	-1.52405809	NCOA2	nuclear receptor coactivator 2
218013_x_at	0.009576	7.35e-05	-6.69	2.07378	-0.81932621	DCTN4	dynactin subunit 4
211862_x_at	0.009576	7.39e-05	-6.68	2.06871	-0.96960127	CFLAR	CASP8 and FADD like apoptosis regulator
213002_at	0.009576	7.39e-05	6.68	2.06835	0.87819703	MARCKS	myristoylated alanine rich protein kinase C substrate
211027_s_at	0.009576	7.39e-05	-6.68	2.06774	-1.03776281	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
32836_at	0.009634	7.51e-05	6.67	2.05209	0.60144375	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1
207079_s_at	0.009634	7.52e-05	-6.67	2.05057	-0.75279532	MED6	mediator complex subunit 6
201048_x_at	0.00966	7.65e-05	-6.65	2.03485	-0.76168493	WTH3DI///RAB6A	RAB6C-like///RAB6A, member RAS oncogene family
207112_s_at	0.00966	7.65e-05	-6.65	2.0341	-0.60293889	GAB1	GRB2 associated binding protein 1
52164_at	0.00966	7.68e-05	6.65	2.03025	0.691681	C11orf24	chromosome 11 open reading frame 24
212529_at	0.00966	7.72e-05	6.64	2.02578	0.83307842	LSM12	LSM12 homolog
210317_s_at	0.010017	8.08e-05	6.61	1.98154	1.00574658	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
214793_at	0.010017	8.09e-05	6.60	1.9794	0.60452043	DUSP7	dual specificity phosphatase 7
209896_s_at	0.010121	8.22e-05	-6.59	1.96385	-0.58018506	PTPN11	protein tyrosine phosphatase, non-receptor type 11
213059_at	0.010125	8.31e-05	6.58	1.95356	0.73411113	CREB3L1	cAMP responsive element binding protein 3 like 1
208664_s_at	0.010125	8.32e-05	-6.58	1.9527	-0.96280846	TTC3P1///TTC3	tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3
210235_s_at	0.010156	8.39e-05	-6.57	1.94448	-0.8327829	PPFIA1	PTPRF interacting protein alpha 1
212286_at	0.010444	8.67e-05	-6.55	1.91167	-1.05042442	ANKRD12	ankyrin repeat domain 12
203795_s_at	0.010444	8.75e-05	6.54	1.90322	0.89552045	BCL7A	BCL tumor suppressor 7A
564_at	0.010444	8.81e-05	6.53	1.89672	0.51248952	GNA11	G protein subunit alpha 11
210216_x_at	0.010444	8.81e-05	-6.53	1.89601	-0.45964603	RAD1	RAD1 checkpoint DNA exonuclease
202407_s_at	0.010732	9.14e-05	-6.50	1.86046	-0.51323415	PRPF31	pre-mRNA processing factor 31
211090_s_at	0.010732	9.15e-05	-6.50	1.85905	-1.06326104	PRPF4B	pre-mRNA processing factor 4B
209459_s_at	0.0109	9.39e-05	-6.48	1.83454	-0.82722654	ABAT	4-aminobutyrate aminotransferase
205716_at	0.0109	9.39e-05	-6.48	1.83359	-0.49724034	SLC25A40	solute carrier family 25 member 40
202593_s_at	0.011045	9.58e-05	-6.46	1.81436	-0.62116409	GDE1	glycerophosphodiester phosphodiesterase 1
203771_s_at	0.011045	9.66e-05	-6.46	1.8059	-0.93011939	BLVRA	biliverdin reductase A
216323_x_at	0.011045	9.77e-05	6.45	1.79543	0.55858102	TUBA3D///TUBA3C	tubulin alpha 3d///tubulin alpha 3c
35201_at	0.011045	9.83e-05	6.44	1.78932	1.00422995	HNRNPL	heterogeneous nuclear ribonucleoprotein L
210557_x_at	0.011045	9.90e-05	-6.44	1.78255	-0.73813342	CSF1	colony stimulating factor 1
211016_x_at	0.011045	9.90e-05	-6.44	1.78238	-0.94981911	HSPA4	heat shock protein family A (Hsp70) member 4
209326_at	0.011045	1.00e-04	6.43	1.77157	0.44892853	SLC35A2	solute carrier family 35 member A2
210818_s_at	0.011045	1.00e-04	-6.43	1.77076	-1.39045879	GRIK1-AS2///BACH1	GRIK1 antisense RNA 2///BTB domain and CNC homolog 1
201104_x_at	0.011045	1.00e-04	-6.43	1.76873	-0.82336621	NBPF25P///NBPF26///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF14	neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 26///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 14
208055_s_at	0.011045	1.01e-04	-6.42	1.76672	-0.83638325	HERC4	HECT and RLD domain containing E3 ubiquitin protein ligase 4
217744_s_at	0.011045	1.01e-04	-6.42	1.76602	-0.93446344	PERP	PERP, TP53 apoptosis effector
210125_s_at	0.011064	1.01e-04	6.42	1.75954	0.43054653	BANF1	barrier to autointegration factor 1
212932_at	0.011205	1.03e-04	-6.40	1.74237	-0.83215288	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1
201476_s_at	0.011215	1.04e-04	-6.40	1.73673	-0.92556082	RRM1	ribonucleotide reductase catalytic subunit M1
205808_at	0.011223	1.04e-04	-6.39	1.7312	-1.42887026	ASPH	aspartate beta-hydroxylase
208932_at	0.01129	1.05e-04	6.38	1.72066	0.47040565	PPP4C	protein phosphatase 4 catalytic subunit
203175_at	0.011399	1.07e-04	6.37	1.70655	0.5737963	RHOG	ras homolog family member G
204507_s_at	0.011511	1.09e-04	6.36	1.6923	0.86700258	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha
202344_at	0.011691	1.11e-04	6.34	1.67238	0.54638227	HSF1	heat shock transcription factor 1
201394_s_at	0.011751	1.12e-04	-6.33	1.6597	-0.56585002	RBM5	RNA binding motif protein 5
221956_at	0.011751	1.12e-04	6.33	1.65729	0.60293633	LRCH4	leucine rich repeats and calponin homology domain containing 4
210232_at	0.011751	1.13e-04	6.33	1.6535	0.3845995	CDC42	cell division cycle 42
221003_s_at	0.011798	1.14e-04	-6.32	1.64496	-0.64872642	CAB39L	calcium binding protein 39 like
212614_at	0.011888	1.15e-04	-6.31	1.63297	-0.53225884	ARID5B	AT-rich interaction domain 5B
214475_x_at	0.01201	1.17e-04	-6.30	1.61651	-0.8579843	CAPN3	calpain 3
217943_s_at	0.01201	1.18e-04	6.30	1.61389	0.45267683	MAP7D1	MAP7 domain containing 1
201140_s_at	0.012062	1.19e-04	6.29	1.60507	0.66765597	RAB5C	RAB5C, member RAS oncogene family
214007_s_at	0.012166	1.20e-04	-6.28	1.59219	-1.13217593	TWF1	twinfilin actin binding protein 1
201711_x_at	0.012205	1.21e-04	-6.27	1.58457	-0.95373626	RANBP2	RAN binding protein 2
202089_s_at	0.012219	1.22e-04	-6.27	1.57901	-0.61603619	SLC39A6	solute carrier family 39 member 6
202310_s_at	0.012267	1.23e-04	6.26	1.57079	0.40789689	COL1A1	collagen type I alpha 1 chain
211051_s_at	0.012282	1.24e-04	-6.25	1.5625	-0.53878346	EXTL3	exostosin like glycosyltransferase 3
212320_at	0.012282	1.24e-04	6.25	1.5608	0.55657225	TUBB	tubulin beta class I
210191_s_at	0.012305	1.25e-04	-6.25	1.55291	-0.57647795	PHTF1	putative homeodomain transcription factor 1
AFFX-HUMISGF3A/M97935_MA_at	0.012305	1.26e-04	-6.24	1.54703	-1.20370354	STAT1	signal transducer and activator of transcription 1
211665_s_at	0.012305	1.26e-04	-6.24	1.5438	-0.95585374	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2
202152_x_at	0.012305	1.27e-04	6.23	1.53796	0.63250488	USF2	upstream transcription factor 2, c-fos interacting
215561_s_at	0.012305	1.28e-04	-6.23	1.53258	-1.92002633	IL1R1	interleukin 1 receptor type 1
214175_x_at	0.012305	1.28e-04	6.23	1.53174	0.42498788	PDLIM4	PDZ and LIM domain 4
211327_x_at	0.012305	1.28e-04	-6.23	1.52881	-0.63032111	HFE	hemochromatosis
209254_at	0.012373	1.29e-04	6.22	1.51914	1.02151287	KLHDC10	kelch domain containing 10
211769_x_at	0.012629	1.33e-04	-6.20	1.49477	-0.597944	SERINC3	serine incorporator 3
201040_at	0.012662	1.34e-04	6.19	1.48581	0.6743845	GNAI2	G protein subunit alpha i2
214248_s_at	0.012662	1.35e-04	-6.19	1.48034	-0.58099396	TRIM2	tripartite motif containing 2
221487_s_at	0.012662	1.35e-04	-6.19	1.47963	-0.73637027	ENSA	endosulfine alpha
215931_s_at	0.012688	1.36e-04	-6.18	1.4735	-0.81275072	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2
205461_at	0.012706	1.36e-04	-6.18	1.46799	-0.70120265	RAB35	RAB35, member RAS oncogene family
200947_s_at	0.012723	1.37e-04	6.17	1.46253	0.57289306	GLUD1	glutamate dehydrogenase 1
