Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0051924,regulation of calcium ion transport,19_GO:0051179 localization,-5,5.8,6.4,30284,253,205,10,4.9,1.5,444|825|2280|2771|5142|5534|5566|6347|6781|7531,ASPH|CAPN3|FKBP1A|GNAI2|PDE4B|PPP3R1|PRKACA|CCL2|STC1|YWHAE,-2,MyList
Canonical Pathways,11,M238,PID THROMBIN PAR1 PATHWAY,,-5,17,8.8,30284,43,205,5,2.4,1.1,396|2771|6643|7408|7791,ARHGDIA|GNAI2|SNX2|VASP|ZYX,-2,MyList
GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-5,3.8,5.7,30284,579,205,15,7.3,1.8,1289|2280|2908|3693|5534|5566|5754|6654|6781|7408|7855|8195|8829|10762|64065,COL5A1|FKBP1A|NR3C1|ITGB5|PPP3R1|PRKACA|PTK7|SOS1|STC1|VASP|FZD5|MKKS|NRP1|NUP50|PERP,-2,MyList
GO Biological Processes,19,GO:0090257,regulation of muscle system process,19_GO:0032501 multicellular organismal process,-5,5.8,6.3,30284,256,205,10,4.9,1.5,18|444|493|2280|5142|5566|5756|6442|6781|7528,ABAT|ASPH|ATP2B4|FKBP1A|PDE4B|PRKACA|TWF1|SGCA|STC1|YY1,-2,MyList
GO Biological Processes,19,GO:0007163,establishment or maintenance of cell polarity,19_GO:0009987 cellular process,-4.9,6.5,6.5,30284,205,205,9,4.4,1.4,1822|3764|4134|4926|5754|8729|9578|29780|81609,ATN1|KCNJ8|MAP4|NUMA1|PTK7|GBF1|CDC42BPB|PARVB|SNX27,-2,MyList
GO Biological Processes,19,GO:0043068,positive regulation of programmed cell death,19_GO:0048518 positive regulation of biological process,-4.9,3.8,5.6,30284,586,205,15,7.3,1.8,355|604|1191|2908|3275|3329|5740|6347|7099|8737|8743|9262|9590|10955|64065,FAS|BCL6|CLU|NR3C1|PRMT2|HSPD1|PTGIS|CCL2|TLR4|RIPK1|TNFSF10|STK17B|AKAP12|SERINC3|PERP,-2,MyList
GO Biological Processes,19,GO:0051301,cell division,19_GO:0009987 cellular process,-4.8,4,5.6,30284,522,205,14,6.8,1.8,595|901|2029|2119|2771|2801|2908|4134|4926|7150|23244|23383|29901|80152,CCND1|CCNG2|ENSA|ETV5|GNAI2|GOLGA2|NR3C1|MAP4|NUMA1|TOP1|PDS5A|MAU2|SAC3D1|CENPT,-1.9,MyList
GO Biological Processes,19,GO:0002009,morphogenesis of an epithelium,19_GO:0032502 developmental process,-4.7,4.2,5.6,30284,462,205,13,6.3,1.7,1289|2908|3693|5534|5566|5754|6654|7408|7855|8195|8829|10762|64065,COL5A1|NR3C1|ITGB5|PPP3R1|PRKACA|PTK7|SOS1|VASP|FZD5|MKKS|NRP1|NUP50|PERP,-1.8,MyList
GO Biological Processes,19,GO:2001233,regulation of apoptotic signaling pathway,19_GO:0050896 response to stimulus,-4.7,4.4,5.7,30284,399,205,12,5.9,1.6,355|1191|2537|2771|5831|7099|8737|8743|8829|10955|90993|219699,FAS|CLU|IFI6|GNAI2|PYCR1|TLR4|RIPK1|TNFSF10|NRP1|SERINC3|CREB3L1|UNC5B,-1.8,MyList
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-4.6,3.4,5.3,30284,694,205,16,7.8,1.9,2908|4017|5154|5534|5566|5754|6347|6654|7408|7855|8195|8829|10762|60681|64065|219699,NR3C1|LOXL2|PDGFA|PPP3R1|PRKACA|PTK7|CCL2|SOS1|VASP|FZD5|MKKS|NRP1|NUP50|FKBP10|PERP|UNC5B,-1.8,MyList
KEGG Pathway,24,hsa05163,Human cytomegalovirus infection,,-4.6,5.9,6.1,30284,226,205,9,4.4,1.4,355|595|2771|5534|5566|6347|6654|8737|90993,FAS|CCND1|GNAI2|PPP3R1|PRKACA|CCL2|SOS1|RIPK1|CREB3L1,-1.7,MyList
GO Biological Processes,19,GO:0006457,protein folding,19_GO:0009987 cellular process,-4.6,5.9,6.1,30284,226,205,9,4.4,1.4,1191|2280|3329|8195|22824|23770|60681|126393|130872,CLU|FKBP1A|HSPD1|MKKS|HSPA4L|FKBP8|FKBP10|HSPB6|AHSA2P,-1.7,MyList
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-4.6,3.5,5.3,30284,626,205,15,7.3,1.8,604|718|1191|2280|3329|3764|6654|7099|7528|7855|8935|10892|10945|64421|81609,BCL6|C3|CLU|FKBP1A|HSPD1|KCNJ8|SOS1|TLR4|YY1|FZD5|SKAP2|MALT1|KDELR1|DCLRE1C|SNX27,-1.7,MyList
GO Biological Processes,19,GO:0071345,cellular response to cytokine stimulus,19_GO:0050896 response to stimulus,-4.5,3.2,5.1,30284,787,205,17,8.3,1.9,355|1025|3329|3429|4641|5566|5740|6347|6654|6723|7099|7528|7791|8195|8737|8986|9590,FAS|CDK9|HSPD1|IFI27|MYO1C|PRKACA|PTGIS|CCL2|SOS1|SRM|TLR4|YY1|ZYX|MKKS|RIPK1|RPS6KA4|AKAP12,-1.7,MyList
GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-4.5,3.7,5.3,30284,556,205,14,6.8,1.8,1289|3764|3964|4017|5154|5534|5754|6347|6654|7855|8829|10060|60681|219699,COL5A1|KCNJ8|LGALS8|LOXL2|PDGFA|PPP3R1|PTK7|CCL2|SOS1|FZD5|NRP1|ABCC9|FKBP10|UNC5B,-1.7,MyList
WikiPathways,27,WP2006,miR targeted genes in squamous cell,,-4.5,8,6.6,30284,129,205,7,3.4,1.3,2771|8450|8829|8943|9260|27236|83442,GNAI2|CUL4B|NRP1|AP3D1|PDLIM7|ARFIP1|SH3BGRL3,-1.7,MyList
Canonical Pathways,11,M113,PID NFAT 3PATHWAY,,-4.5,14,7.8,30284,53,205,5,2.4,1.1,2280|5534|5566|7531|23770,FKBP1A|PPP3R1|PRKACA|YWHAE|FKBP8,-1.7,MyList
WikiPathways,27,WP2005,miR targeted genes in muscle cell,,-4.5,4.6,5.6,30284,353,205,11,5.4,1.6,396|595|4651|6856|8450|8829|8943|9260|25840|83442|84823,ARHGDIA|CCND1|MYO10|SYPL1|CUL4B|NRP1|AP3D1|PDLIM7|TMT1A|SH3BGRL3|LMNB2,-1.7,MyList
GO Biological Processes,19,GO:0033365,protein localization to organelle,19_GO:0051179 localization,-4.5,3.2,5.1,30284,794,205,17,8.3,1.9,1191|1200|3329|4281|5534|5566|7531|8729|8829|8943|10204|10762|10945|22930|23770|51141|84823,CLU|TPP1|HSPD1|MID1|PPP3R1|PRKACA|YWHAE|GBF1|NRP1|AP3D1|NUTF2|NUP50|KDELR1|RAB3GAP1|FKBP8|INSIG2|LMNB2,-1.7,MyList
WikiPathways,27,WP5104,Acquired partial lipodystrophy Barraquer Simons syndrome,,-4.5,44,11,30284,10,205,3,1.5,0.84,629|718|84823,CFB|C3|LMNB2,-1.7,MyList
WikiPathways,27,WP3888,VEGFA VEGFR2 signaling,,-4.4,4.1,5.4,30284,432,205,12,5.9,1.6,355|595|1200|3693|4641|6347|6418|7004|7531|9510|9578|83442,FAS|CCND1|TPP1|ITGB5|MYO1C|CCL2|SET|TEAD4|YWHAE|ADAMTS1|CDC42BPB|SH3BGRL3,-1.6,MyList
GO Biological Processes,19,GO:0046649,lymphocyte activation,19_GO:0002376 immune system process,-4.4,3.8,5.3,30284,504,205,13,6.3,1.7,604|718|2280|3329|6654|7099|7528|7855|8935|10892|10945|64421|81609,BCL6|C3|FKBP1A|HSPD1|SOS1|TLR4|YY1|FZD5|SKAP2|MALT1|KDELR1|DCLRE1C|SNX27,-1.6,MyList
GO Biological Processes,19,GO:0045185,maintenance of protein location,19_GO:0051179 localization,-4.3,9.3,6.7,30284,95,205,6,2.9,1.2,1627|2201|5756|7531|10945|51141,DBN1|FBN2|TWF1|YWHAE|KDELR1|INSIG2,-1.6,MyList
WikiPathways,27,WP3981,miRNA regulation of prostate cancer signaling,,-4.3,19,8.3,30284,31,205,4,2,0.97,595|5154|6654|90993,CCND1|PDGFA|SOS1|CREB3L1,-1.6,MyList
GO Biological Processes,19,GO:1904062,regulation of monoatomic cation transmembrane transport,19_GO:0051179 localization,-4.3,4.8,5.5,30284,311,205,10,4.9,1.5,444|493|825|2280|5142|5534|5566|7531|10060|53827,ASPH|ATP2B4|CAPN3|FKBP1A|PDE4B|PPP3R1|PRKACA|YWHAE|ABCC9|FXYD5,-1.6,MyList
Reactome Gene Sets,6,R-HSA-422475,Axon guidance,,-4.2,4,5.2,30284,446,205,12,5.9,1.6,1289|4651|5566|5962|6654|7408|8829|8986|9260|10381|23032|219699,COL5A1|MYO10|PRKACA|RDX|SOS1|VASP|NRP1|RPS6KA4|PDLIM7|TUBB3|USP33|UNC5B,-1.5,MyList
GO Biological Processes,19,GO:0042113,B cell activation,19_GO:0002376 immune system process,-4.2,6,5.8,30284,196,205,8,3.9,1.4,604|718|3329|7099|7528|8935|10892|64421,BCL6|C3|HSPD1|TLR4|YY1|SKAP2|MALT1|DCLRE1C,-1.5,MyList
GO Biological Processes,19,GO:0031349,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-4.2,3.9,5.2,30284,449,205,12,5.9,1.6,718|3329|3764|4671|5179|7099|7531|8737|8780|10612|63940|283131,C3|HSPD1|KCNJ8|NAIP|PENK|TLR4|YWHAE|RIPK1|RIOK3|TRIM3|GPSM3|NEAT1,-1.5,MyList
GO Biological Processes,19,GO:0071872,cellular response to epinephrine stimulus,19_GO:0050896 response to stimulus,-4.2,37,10,30284,12,205,3,1.5,0.84,493|5142|5566,ATP2B4|PDE4B|PRKACA,-1.5,MyList
KEGG Pathway,24,hsa05130,Pathogenic Escherichia coli infection,,-4.1,5.8,5.7,30284,203,205,8,3.9,1.4,355|4641|4651|4671|7099|8737|8743|10381,FAS|MYO1C|MYO10|NAIP|TLR4|RIPK1|TNFSF10|TUBB3,-1.5,MyList
GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-4.1,3.6,5,30284,534,205,13,6.3,1.7,1289|3764|4017|5154|5534|5754|6347|6654|7855|8829|10060|60681|219699,COL5A1|KCNJ8|LOXL2|PDGFA|PPP3R1|PTK7|CCL2|SOS1|FZD5|NRP1|ABCC9|FKBP10|UNC5B,-1.5,MyList
KEGG Pathway,24,hsa05205,Proteoglycans in cancer,,-4.1,5.8,5.7,30284,204,205,8,3.9,1.4,355|595|3693|5566|5962|6654|7099|7855,FAS|CCND1|ITGB5|PRKACA|RDX|SOS1|TLR4|FZD5,-1.5,MyList
GO Biological Processes,19,GO:0045428,regulation of nitric oxide biosynthetic process,19_GO:0050789 regulation of biological process,-4.1,11,6.9,30284,65,205,5,2.4,1.1,92|493|1191|5740|7099,ACVR2A|ATP2B4|CLU|PTGIS|TLR4,-1.5,MyList
GO Biological Processes,19,GO:0009615,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-4.1,4.1,5.2,30284,394,205,11,5.4,1.6,1191|2537|3429|3764|3964|5179|8729|8780|10060|10955|11100,CLU|IFI6|IFI27|KCNJ8|LGALS8|PENK|GBF1|RIOK3|ABCC9|SERINC3|HNRNPUL1,-1.5,MyList
GO Biological Processes,19,GO:0002253,activation of immune response,19_GO:0002376 immune system process,-4.1,4.1,5.1,30284,396,205,11,5.4,1.6,629|718|1191|3329|3764|4671|5142|6654|7099|7531|10892,CFB|C3|CLU|HSPD1|KCNJ8|NAIP|PDE4B|SOS1|TLR4|YWHAE|MALT1,-1.4,MyList
Reactome Gene Sets,6,R-HSA-9675108,Nervous system development,,-4,3.8,5,30284,467,205,12,5.9,1.6,1289|4651|5566|5962|6654|7408|8829|8986|9260|10381|23032|219699,COL5A1|MYO10|PRKACA|RDX|SOS1|VASP|NRP1|RPS6KA4|PDLIM7|TUBB3|USP33|UNC5B,-1.4,MyList
GO Biological Processes,19,GO:0080164,regulation of nitric oxide metabolic process,19_GO:0050789 regulation of biological process,-4,11,6.8,30284,67,205,5,2.4,1.1,92|493|1191|5740|7099,ACVR2A|ATP2B4|CLU|PTGIS|TLR4,-1.4,MyList
GO Biological Processes,19,GO:0008016,regulation of heart contraction,19_GO:0032501 multicellular organismal process,-4,5.6,5.6,30284,210,205,8,3.9,1.4,444|493|3764|5142|5566|6781|7531|10060,ASPH|ATP2B4|KCNJ8|PDE4B|PRKACA|STC1|YWHAE|ABCC9,-1.4,MyList
GO Biological Processes,19,GO:0060627,regulation of vesicle-mediated transport,19_GO:0051179 localization,-4,3.5,4.9,30284,547,205,13,6.3,1.7,396|718|1191|2771|3077|5534|5962|6347|8829|9367|22930|27236|30846,ARHGDIA|C3|CLU|GNAI2|HFE|PPP3R1|RDX|CCL2|NRP1|RAB9A|RAB3GAP1|ARFIP1|EHD2,-1.4,MyList
GO Biological Processes,19,GO:0032386,regulation of intracellular transport,19_GO:0051179 localization,-4,4.9,5.3,30284,273,205,9,4.4,1.4,444|3429|4926|5566|5962|7531|27236|30846|283131,ASPH|IFI27|NUMA1|PRKACA|RDX|YWHAE|ARFIP1|EHD2|NEAT1,-1.4,MyList
WikiPathways,27,WP5380,5q35 copy number variation,,-4,8,6.1,30284,111,205,6,2.9,1.2,825|1627|2771|6654|9260|51099,CAPN3|DBN1|GNAI2|SOS1|PDLIM7|ABHD5,-1.4,MyList
GO Biological Processes,19,GO:0072593,reactive oxygen species metabolic process,19_GO:0009987 cellular process,-4,8,6.1,30284,111,205,6,2.9,1.2,2537|8729|10060|23530|51167|55312,IFI6|GBF1|ABCC9|NNT|CYB5R4|RFK,-1.4,MyList
GO Biological Processes,19,GO:0150063,visual system development,19_GO:0032502 developmental process,-3.9,4,5,30284,407,205,11,5.4,1.6,493|718|1289|2201|6654|7528|7855|8829|22930|23770|65084,ATP2B4|C3|COL5A1|FBN2|SOS1|YY1|FZD5|NRP1|RAB3GAP1|FKBP8|TMEM135,-1.4,MyList
Canonical Pathways,11,M167,PID AP1 PATHWAY,,-3.9,11,6.6,30284,70,205,5,2.4,1.1,595|2908|3727|5179|6347,CCND1|NR3C1|JUND|PENK|CCL2,-1.4,MyList
GO Biological Processes,19,GO:0106072,negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway,19_GO:0048519 negative regulation of biological process,-3.9,30,9.1,30284,15,205,3,1.5,0.84,493|2771|5142,ATP2B4|GNAI2|PDE4B,-1.4,MyList
GO Biological Processes,19,GO:0048880,sensory system development,19_GO:0032502 developmental process,-3.9,3.9,4.9,30284,414,205,11,5.4,1.6,493|718|1289|2201|6654|7528|7855|8829|22930|23770|65084,ATP2B4|C3|COL5A1|FBN2|SOS1|YY1|FZD5|NRP1|RAB3GAP1|FKBP8|TMEM135,-1.4,MyList
GO Biological Processes,19,GO:0010038,response to metal ion,19_GO:0050896 response to stimulus,-3.9,4.3,5,30284,346,205,10,4.9,1.5,18|444|825|3077|3727|4017|5179|8895|10060|79901,ABAT|ASPH|CAPN3|HFE|JUND|LOXL2|PENK|CPNE3|ABCC9|CYBRD1,-1.4,MyList
GO Biological Processes,19,GO:1902806,regulation of cell cycle G1/S phase transition,19_GO:0050789 regulation of biological process,-3.9,5.4,5.4,30284,220,205,8,3.9,1.4,493|595|3275|5962|6347|8450|9510|51322,ATP2B4|CCND1|PRMT2|RDX|CCL2|CUL4B|ADAMTS1|WAC,-1.4,MyList
KEGG Pathway,24,hsa04928,"Parathyroid hormone synthesis, secretion and action",,-3.9,7.7,5.9,30284,115,205,6,2.9,1.2,2771|3727|5142|5566|6257|90993,GNAI2|JUND|PDE4B|PRKACA|RXRB|CREB3L1,-1.4,MyList
GO Biological Processes,19,GO:0006886,intracellular protein transport,19_GO:0051179 localization,-3.9,3.4,4.7,30284,566,205,13,6.3,1.7,1191|5534|5566|5878|6643|8675|8943|9392|10204|10762|23039|27236|81609,CLU|PPP3R1|PRKACA|RAB5C|SNX2|STX16|AP3D1|TGFBRAP1|NUTF2|NUP50|XPO7|ARFIP1|SNX27,-1.4,MyList
GO Biological Processes,19,GO:2000379,positive regulation of reactive oxygen species metabolic process,19_GO:0048518 positive regulation of biological process,-3.8,9.8,6.3,30284,75,205,5,2.4,1.1,355|2771|7099|8737|23530,FAS|GNAI2|TLR4|RIPK1|NNT,-1.3,MyList
Reactome Gene Sets,6,R-HSA-68886,M Phase,,-3.8,4.2,5,30284,354,205,10,4.9,1.5,2029|2801|4926|5566|7531|10381|10426|10762|23383|80152,ENSA|GOLGA2|NUMA1|PRKACA|YWHAE|TUBB3|TUBGCP3|NUP50|MAU2|CENPT,-1.3,MyList
GO Biological Processes,19,GO:0051092,positive regulation of NF-kappaB transcription factor activity,19_GO:0050789 regulation of biological process,-3.8,7.4,5.8,30284,120,205,6,2.9,1.2,825|1191|7099|8737|8986|10892,CAPN3|CLU|TLR4|RIPK1|RPS6KA4|MALT1,-1.3,MyList
GO Biological Processes,19,GO:0007411,axon guidance,19_GO:0032502 developmental process,-3.8,5.2,5.2,30284,228,205,8,3.9,1.4,2051|5754|6654|7408|8829|10381|23032|219699,EPHB6|PTK7|SOS1|VASP|NRP1|TUBB3|USP33|UNC5B,-1.3,MyList
GO Biological Processes,19,GO:0097485,neuron projection guidance,19_GO:0032502 developmental process,-3.7,5.2,5.2,30284,229,205,8,3.9,1.4,2051|5754|6654|7408|8829|10381|23032|219699,EPHB6|PTK7|SOS1|VASP|NRP1|TUBB3|USP33|UNC5B,-1.3,MyList
GO Biological Processes,19,GO:0071347,cellular response to interleukin-1,19_GO:0050896 response to stimulus,-3.7,9.6,6.2,30284,77,205,5,2.4,1.1,5740|6347|7528|8986|9590,PTGIS|CCL2|YY1|RPS6KA4|AKAP12,-1.3,MyList
GO Biological Processes,19,GO:0044057,regulation of system process,19_GO:0032501 multicellular organismal process,-3.7,3.3,4.6,30284,584,205,13,6.3,1.7,18|444|493|2280|3764|5142|5566|5756|6442|6781|7528|7531|10060,ABAT|ASPH|ATP2B4|FKBP1A|KCNJ8|PDE4B|PRKACA|TWF1|SGCA|STC1|YY1|YWHAE|ABCC9,-1.3,MyList
GO Biological Processes,19,GO:0001503,ossification,19_GO:0032501 multicellular organismal process,-3.7,4.5,5,30284,294,205,9,4.4,1.4,92|3727|5179|6781|9260|25840|25842|26578|90993,ACVR2A|JUND|PENK|STC1|PDLIM7|TMT1A|ASF1A|OSTF1|CREB3L1,-1.3,MyList
GO Biological Processes,19,GO:0071277,cellular response to calcium ion,19_GO:0050896 response to stimulus,-3.7,9.5,6.2,30284,78,205,5,2.4,1.1,444|825|3727|8895|10060,ASPH|CAPN3|JUND|CPNE3|ABCC9,-1.3,MyList
GO Biological Processes,19,GO:1900119,positive regulation of execution phase of apoptosis,19_GO:0048518 positive regulation of biological process,-3.7,26,8.5,30284,17,205,3,1.5,0.84,3329|5740|8737,HSPD1|PTGIS|RIPK1,-1.3,MyList
GO Biological Processes,19,GO:1903169,regulation of calcium ion transmembrane transport,19_GO:0051179 localization,-3.7,5.9,5.4,30284,175,205,7,3.4,1.3,444|825|2280|5142|5534|5566|7531,ASPH|CAPN3|FKBP1A|PDE4B|PPP3R1|PRKACA|YWHAE,-1.3,MyList
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-3.7,3.3,4.6,30284,588,205,13,6.3,1.7,718|3329|3764|4671|7099|7531|8737|8780|8829|10612|63940|64065|283131,C3|HSPD1|KCNJ8|NAIP|TLR4|YWHAE|RIPK1|RIOK3|NRP1|TRIM3|GPSM3|PERP|NEAT1,-1.3,MyList
GO Biological Processes,19,GO:0070972,protein localization to endoplasmic reticulum,19_GO:0051179 localization,-3.7,9.3,6.1,30284,79,205,5,2.4,1.1,7531|8729|10945|22930|51141,YWHAE|GBF1|KDELR1|RAB3GAP1|INSIG2,-1.3,MyList
