Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0008283,cell population proliferation,19_GO:0009987 cellular process,-4.8,3.9,5.6,30284,718,151,14,9.3,2.4,444|595|604|1025|1191|1627|2771|3329|3764|4017|5154|5179|7099|10060,ASPH|CCND1|BCL6|CDK9|CLU|DBN1|GNAI2|HSPD1|KCNJ8|LOXL2|PDGFA|PENK|TLR4|ABCC9,-2.1
MyList,WikiPathways,27,WP3981,miRNA regulation of prostate cancer signaling,,-4.8,26,9.8,30284,31,151,4,2.6,1.3,595|5154|6654|90993,CCND1|PDGFA|SOS1|CREB3L1,-2.1
MyList,GO Biological Processes,19,GO:0007411,axon guidance,19_GO:0032502 developmental process,-4.7,7,6.5,30284,228,151,8,5.3,1.8,2051|5754|6654|7408|8829|10381|23032|219699,EPHB6|PTK7|SOS1|VASP|NRP1|TUBB3|USP33|UNC5B,-2
MyList,GO Biological Processes,19,GO:0060627,regulation of vesicle-mediated transport,19_GO:0051179 localization,-4.7,4.4,5.7,30284,547,151,12,7.9,2.2,396|718|1191|2771|3077|5534|5962|6347|8829|9367|22930|30846,ARHGDIA|C3|CLU|GNAI2|HFE|PPP3R1|RDX|CCL2|NRP1|RAB9A|RAB3GAP1|EHD2,-2
MyList,GO Biological Processes,19,GO:0097485,neuron projection guidance,19_GO:0032502 developmental process,-4.7,7,6.5,30284,229,151,8,5.3,1.8,2051|5754|6654|7408|8829|10381|23032|219699,EPHB6|PTK7|SOS1|VASP|NRP1|TUBB3|USP33|UNC5B,-2
MyList,GO Biological Processes,19,GO:0001944,vasculature development,19_GO:0032502 developmental process,-4.6,4.3,5.6,30284,556,151,12,7.9,2.2,1289|3764|3964|4017|5154|5534|5754|6347|6654|8829|10060|219699,COL5A1|KCNJ8|LGALS8|LOXL2|PDGFA|PPP3R1|PTK7|CCL2|SOS1|NRP1|ABCC9|UNC5B,-1.9
MyList,KEGG Pathway,24,hsa04928,"Parathyroid hormone synthesis, secretion and action",,-4.6,10,7.2,30284,115,151,6,4,1.6,2771|3727|5142|5566|6257|90993,GNAI2|JUND|PDE4B|PRKACA|RXRB|CREB3L1,-1.9
MyList,GO Biological Processes,19,GO:0071872,cellular response to epinephrine stimulus,19_GO:0050896 response to stimulus,-4.6,50,12,30284,12,151,3,2,1.1,493|5142|5566,ATP2B4|PDE4B|PRKACA,-1.9
MyList,GO Biological Processes,19,GO:0006468,protein phosphorylation,19_GO:0009987 cellular process,-4.6,5.2,5.9,30284,388,151,10,6.6,2,1025|4139|5566|6347|7099|7150|8737|8986|9262|9578,CDK9|MARK1|PRKACA|CCL2|TLR4|TOP1|RIPK1|RPS6KA4|STK17B|CDC42BPB,-1.9
MyList,Canonical Pathways,11,M167,PID AP1 PATHWAY,,-4.6,14,7.9,30284,70,151,5,3.3,1.5,595|2908|3727|5179|6347,CCND1|NR3C1|JUND|PENK|CCL2,-1.9
MyList,Reactome Gene Sets,6,R-HSA-69278,"Cell Cycle, Mitotic",,-4.5,4.6,5.7,30284,475,151,11,7.3,2.1,595|2029|2801|4926|5566|7531|10381|10426|10762|23383|80152,CCND1|ENSA|GOLGA2|NUMA1|PRKACA|YWHAE|TUBB3|TUBGCP3|NUP50|MAU2|CENPT,-1.9
MyList,GO Biological Processes,19,GO:0002253,activation of immune response,19_GO:0002376 immune system process,-4.5,5.1,5.8,30284,396,151,10,6.6,2,629|718|1191|3329|3764|4671|5142|6654|7099|7531,CFB|C3|CLU|HSPD1|KCNJ8|NAIP|PDE4B|SOS1|TLR4|YWHAE,-1.9
MyList,GO Biological Processes,19,GO:2000379,positive regulation of reactive oxygen species metabolic process,19_GO:0048518 positive regulation of biological process,-4.4,13,7.6,30284,75,151,5,3.3,1.5,355|2771|7099|8737|23530,FAS|GNAI2|TLR4|RIPK1|NNT,-1.8
MyList,KEGG Pathway,24,hsa05132,Salmonella infection,,-4.4,6.4,6.1,30284,251,151,8,5.3,1.8,4671|5878|7099|8737|8743|9367|10381|79443,NAIP|RAB5C|TLR4|RIPK1|TNFSF10|RAB9A|TUBB3|FYCO1,-1.8
MyList,GO Biological Processes,19,GO:0051924,regulation of calcium ion transport,19_GO:0051179 localization,-4.4,6.3,6,30284,253,151,8,5.3,1.8,444|2280|2771|5142|5534|5566|6347|7531,ASPH|FKBP1A|GNAI2|PDE4B|PPP3R1|PRKACA|CCL2|YWHAE,-1.8
MyList,GO Biological Processes,19,GO:0071345,cellular response to cytokine stimulus,19_GO:0050896 response to stimulus,-4.4,3.6,5.2,30284,787,151,14,9.3,2.4,355|1025|3329|4641|5566|6347|6654|6723|7099|7528|7791|8737|8986|9590,FAS|CDK9|HSPD1|MYO1C|PRKACA|CCL2|SOS1|SRM|TLR4|YY1|ZYX|RIPK1|RPS6KA4|AKAP12,-1.8
MyList,GO Biological Processes,19,GO:0090257,regulation of muscle system process,19_GO:0032501 multicellular organismal process,-4.3,6.3,6,30284,256,151,8,5.3,1.8,18|444|493|2280|5142|5566|5756|7528,ABAT|ASPH|ATP2B4|FKBP1A|PDE4B|PRKACA|TWF1|YY1,-1.8
MyList,GO Biological Processes,19,GO:0070972,protein localization to endoplasmic reticulum,19_GO:0051179 localization,-4.3,13,7.4,30284,79,151,5,3.3,1.5,7531|8729|10945|22930|51141,YWHAE|GBF1|KDELR1|RAB3GAP1|INSIG2,-1.8
MyList,GO Biological Processes,19,GO:0007059,chromosome segregation,19_GO:0009987 cellular process,-4.3,5.4,5.7,30284,335,151,9,6,1.9,2801|2908|4926|7150|8780|10426|23383|29901|80152,GOLGA2|NR3C1|NUMA1|TOP1|RIOK3|TUBGCP3|MAU2|SAC3D1|CENPT,-1.7
MyList,GO Biological Processes,19,GO:0106072,negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway,19_GO:0048519 negative regulation of biological process,-4.3,40,11,30284,15,151,3,2,1.1,493|2771|5142,ATP2B4|GNAI2|PDE4B,-1.7
MyList,Reactome Gene Sets,6,R-HSA-194315,Signaling by Rho GTPases,,-4.3,4,5.2,30284,605,151,12,7.9,2.2,396|1362|1627|5756|6654|7531|9578|9590|10250|10381|10970|80152,ARHGDIA|CPD|DBN1|TWF1|SOS1|YWHAE|CDC42BPB|AKAP12|SRRM1|TUBB3|CKAP4|CENPT,-1.7
MyList,Reactome Gene Sets,6,R-HSA-380320,Recruitment of NuMA to mitotic centrosomes,,-4.2,12,7.2,30284,83,151,5,3.3,1.5,4926|5566|7531|10381|10426,NUMA1|PRKACA|YWHAE|TUBB3|TUBGCP3,-1.7
MyList,GO Biological Processes,19,GO:0010038,response to metal ion,19_GO:0050896 response to stimulus,-4.2,5.2,5.6,30284,346,151,9,6,1.9,18|444|3077|3727|4017|5179|8895|10060|79901,ABAT|ASPH|HFE|JUND|LOXL2|PENK|CPNE3|ABCC9|CYBRD1,-1.7
MyList,WikiPathways,27,WP3888,VEGFA VEGFR2 signaling,,-4.2,4.6,5.4,30284,432,151,10,6.6,2,355|595|1200|3693|4641|6347|6418|7004|7531|9578,FAS|CCND1|TPP1|ITGB5|MYO1C|CCL2|SET|TEAD4|YWHAE|CDC42BPB,-1.7
MyList,WikiPathways,27,WP306,Focal adhesion,,-4.2,7.1,6.1,30284,199,151,7,4.6,1.7,595|3693|5154|6654|7408|7791|29780,CCND1|ITGB5|PDGFA|SOS1|VASP|ZYX|PARVB,-1.7
MyList,GO Biological Processes,19,GO:0016310,phosphorylation,19_GO:0009987 cellular process,-4.2,4.6,5.4,30284,433,151,10,6.6,2,1025|4139|5566|6347|7099|7150|8737|8986|9262|9578,CDK9|MARK1|PRKACA|CCL2|TLR4|TOP1|RIPK1|RPS6KA4|STK17B|CDC42BPB,-1.7
MyList,WikiPathways,27,WP2817,Mammary gland development pregnancy and lactation stage 3 of 4,,-4.2,18,8.1,30284,44,151,4,2.6,1.3,595|2908|7528|22839,CCND1|NR3C1|YY1|DLGAP4,-1.7
MyList,KEGG Pathway,24,hsa04962,Vasopressin-regulated water reabsorption,,-4.2,18,8.1,30284,44,151,4,2.6,1.3,396|5566|5878|90993,ARHGDIA|PRKACA|RAB5C|CREB3L1,-1.7
MyList,WikiPathways,27,WP5085,Vasopressin regulated water reabsorption,,-4.2,18,8.1,30284,44,151,4,2.6,1.3,396|5566|5878|90993,ARHGDIA|PRKACA|RAB5C|CREB3L1,-1.7
MyList,GO Biological Processes,19,GO:0043254,regulation of protein-containing complex assembly,19_GO:0050789 regulation of biological process,-4.1,4.6,5.3,30284,438,151,10,6.6,2,1191|4926|5756|5962|7099|7408|8780|9392|9780|11135,CLU|NUMA1|TWF1|RDX|TLR4|VASP|RIOK3|TGFBRAP1|PIEZO1|CDC42EP1,-1.7
MyList,KEGG Pathway,24,hsa04510,Focal adhesion,,-4.1,6.9,6,30284,203,151,7,4.6,1.7,595|3693|5154|6654|7408|7791|29780,CCND1|ITGB5|PDGFA|SOS1|VASP|ZYX|PARVB,-1.7
MyList,GO Biological Processes,19,GO:0030010,establishment of cell polarity,19_GO:0009987 cellular process,-4.1,8.6,6.4,30284,140,151,6,4,1.6,3764|4134|4926|5754|8729|81609,KCNJ8|MAP4|NUMA1|PTK7|GBF1|SNX27,-1.7
MyList,GO Biological Processes,19,GO:0032388,positive regulation of intracellular transport,19_GO:0051179 localization,-4.1,8.6,6.4,30284,140,151,6,4,1.6,444|4926|5566|5962|7531|30846,ASPH|NUMA1|PRKACA|RDX|YWHAE|EHD2,-1.7
MyList,Reactome Gene Sets,6,R-HSA-186797,Signaling by PDGF,,-4.1,18,8,30284,45,151,4,2.6,1.3,1289|5154|5782|6654,COL5A1|PDGFA|PTPN12|SOS1,-1.7
MyList,GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-4.1,3.8,5.1,30284,626,151,12,7.9,2.2,604|718|1191|2280|3329|3764|6654|7099|7528|8935|10945|81609,BCL6|C3|CLU|FKBP1A|HSPD1|KCNJ8|SOS1|TLR4|YY1|SKAP2|KDELR1|SNX27,-1.7
MyList,GO Biological Processes,19,GO:0042063,gliogenesis,19_GO:0032502 developmental process,-4.1,5.8,5.7,30284,275,151,8,5.3,1.8,1191|2908|5179|5534|6347|6654|7099|8450,CLU|NR3C1|PENK|PPP3R1|CCL2|SOS1|TLR4|CUL4B,-1.7
MyList,KEGG Pathway,24,hsa05205,Proteoglycans in cancer,,-4.1,6.9,6,30284,204,151,7,4.6,1.7,355|595|3693|5566|5962|6654|7099,FAS|CCND1|ITGB5|PRKACA|RDX|SOS1|TLR4,-1.7
MyList,GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-4.1,3.8,5.1,30284,629,151,12,7.9,2.2,2051|3077|3693|4641|5154|6654|7791|8829|8895|9392|9702|23770,EPHB6|HFE|ITGB5|MYO1C|PDGFA|SOS1|ZYX|NRP1|CPNE3|TGFBRAP1|CEP57|FKBP8,-1.7
MyList,GO Biological Processes,19,GO:0001568,blood vessel development,19_GO:0032502 developmental process,-4.1,4.1,5.2,30284,534,151,11,7.3,2.1,1289|3764|4017|5154|5534|5754|6347|6654|8829|10060|219699,COL5A1|KCNJ8|LOXL2|PDGFA|PPP3R1|PTK7|CCL2|SOS1|NRP1|ABCC9|UNC5B,-1.7
MyList,KEGG Pathway,24,hsa04936,Alcoholic liver disease,,-4.1,8.4,6.3,30284,144,151,6,4,1.6,128|355|595|718|7099|8737,ADH5|FAS|CCND1|C3|TLR4|RIPK1,-1.6
MyList,GO Biological Processes,19,GO:0031349,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-4,4.5,5.2,30284,449,151,10,6.6,2,718|3329|3764|4671|5179|7099|7531|8737|8780|63940,C3|HSPD1|KCNJ8|NAIP|PENK|TLR4|YWHAE|RIPK1|RIOK3|GPSM3,-1.6
MyList,GO Biological Processes,19,GO:0008016,regulation of heart contraction,19_GO:0032501 multicellular organismal process,-4,6.7,5.9,30284,210,151,7,4.6,1.7,444|493|3764|5142|5566|7531|10060,ASPH|ATP2B4|KCNJ8|PDE4B|PRKACA|YWHAE|ABCC9,-1.6
MyList,GO Biological Processes,19,GO:0060976,coronary vasculature development,19_GO:0032502 developmental process,-4,17,7.7,30284,48,151,4,2.6,1.3,3764|5754|8829|10060,KCNJ8|PTK7|NRP1|ABCC9,-1.6
MyList,KEGG Pathway,24,hsa04540,Gap junction,,-4,11,6.7,30284,92,151,5,3.3,1.5,2771|5154|5566|6654|10381,GNAI2|PDGFA|PRKACA|SOS1|TUBB3,-1.6
MyList,GO Biological Processes,19,GO:2001235,positive regulation of apoptotic signaling pathway,19_GO:0048518 positive regulation of biological process,-4,8.1,6.1,30284,149,151,6,4,1.6,355|1191|7099|8737|8743|10955,FAS|CLU|TLR4|RIPK1|TNFSF10|SERINC3,-1.6
MyList,KEGG Pathway,24,hsa05207,Chemical carcinogenesis - receptor activation,,-4,6.5,5.8,30284,215,151,7,4.6,1.7,595|604|2771|5566|6257|6654|90993,CCND1|BCL6|GNAI2|PRKACA|RXRB|SOS1|CREB3L1,-1.6
MyList,KEGG Pathway,24,hsa05417,Lipid and atherosclerosis,,-4,6.5,5.7,30284,216,151,7,4.6,1.7,355|3329|5534|6257|6347|7099|8743,FAS|HSPD1|PPP3R1|RXRB|CCL2|TLR4|TNFSF10,-1.6
MyList,GO Biological Processes,19,GO:0002009,morphogenesis of an epithelium,19_GO:0032502 developmental process,-3.9,4.3,5.1,30284,462,151,10,6.6,2,1289|2908|3693|5534|5566|5754|6654|7408|8829|10762,COL5A1|NR3C1|ITGB5|PPP3R1|PRKACA|PTK7|SOS1|VASP|NRP1|NUP50,-1.6
MyList,GO Biological Processes,19,GO:1902806,regulation of cell cycle G1/S phase transition,19_GO:0050789 regulation of biological process,-3.9,6.4,5.7,30284,220,151,7,4.6,1.7,493|595|3275|5962|6347|8450|51322,ATP2B4|CCND1|PRMT2|RDX|CCL2|CUL4B|WAC,-1.5
MyList,Canonical Pathways,11,M220,PID CASPASE PATHWAY,,-3.9,16,7.5,30284,51,151,4,2.6,1.3,4926|7150|8737|84823,NUMA1|TOP1|RIPK1|LMNB2,-1.5
MyList,Reactome Gene Sets,6,R-HSA-180024,DARPP-32 events,,-3.9,30,9.2,30284,20,151,3,2,1.1,5142|5534|5566,PDE4B|PPP3R1|PRKACA,-1.5
MyList,GO Biological Processes,19,GO:0006886,intracellular protein transport,19_GO:0051179 localization,-3.9,3.9,4.9,30284,566,151,11,7.3,2.1,1191|5534|5566|5878|6643|8675|8943|9392|10204|10762|81609,CLU|PPP3R1|PRKACA|RAB5C|SNX2|STX16|AP3D1|TGFBRAP1|NUTF2|NUP50|SNX27,-1.5
MyList,Reactome Gene Sets,6,R-HSA-9012999,RHO GTPase cycle,,-3.9,4.7,5.2,30284,382,151,9,6,1.9,396|1362|1627|5756|6654|9578|9590|10250|10970,ARHGDIA|CPD|DBN1|TWF1|SOS1|CDC42BPB|AKAP12|SRRM1|CKAP4,-1.5
MyList,KEGG Pathway,24,hsa05215,Prostate cancer,,-3.9,10,6.5,30284,98,151,5,3.3,1.5,595|2119|5154|6654|90993,CCND1|ETV5|PDGFA|SOS1|CREB3L1,-1.5
MyList,WikiPathways,27,WP497,Urea cycle and metabolism of amino groups,,-3.8,29,9,30284,21,151,3,2,1.1,5831|6611|6723,PYCR1|SMS|SRM,-1.5
MyList,Reactome Gene Sets,6,R-HSA-9013418,RHOBTB2 GTPase cycle,,-3.8,29,9,30284,21,151,3,2,1.1,1627|5756|10250,DBN1|TWF1|SRRM1,-1.5
MyList,GO Biological Processes,19,GO:0106070,regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway,19_GO:0050896 response to stimulus,-3.8,29,9,30284,21,151,3,2,1.1,493|2771|5142,ATP2B4|GNAI2|PDE4B,-1.5
MyList,GO Biological Processes,19,GO:0048729,tissue morphogenesis,19_GO:0032502 developmental process,-3.8,3.8,4.8,30284,579,151,11,7.3,2.1,1289|2280|2908|3693|5534|5566|5754|6654|7408|8829|10762,COL5A1|FKBP1A|NR3C1|ITGB5|PPP3R1|PRKACA|PTK7|SOS1|VASP|NRP1|NUP50,-1.4
MyList,GO Biological Processes,19,GO:0009615,response to virus,19_GO:0044419 biological process involved in interspecies interaction between organisms,-3.8,4.6,5.1,30284,394,151,9,6,1.9,1191|3764|3964|5179|8729|8780|10060|10955|11100,CLU|KCNJ8|LGALS8|PENK|GBF1|RIOK3|ABCC9|SERINC3|HNRNPUL1,-1.4
